# Example geofence definition, in this case surrounding Australia
# Each line contains a latitude,longitude pair 
# The last line must match the first line.
#
-41.38202891334386,107.9105824768882
-20.07430283723227,103.3792788139384
-4.562942141555373,115.2996404132856
-4.379013502875014,130.8704768730523
-5.650914893755716,144.4670774090879
-13.75448961755354,159.1643943500256
-27.47877172259304,162.4956247044591
-43.83505661109898,164.6921397447385
-48.02663209379612,133.5386179958101
-41.38202891334386,107.9105824768882
